description;address;neighborhood;area;bedrooms;suites;wc;parking_spots;value;condo_fee;df_tax;aptlink
Taguatinga Centro - 3 quartos, próximo a estação do metrô de Taguatinga (Praça do Relógio). O Apar;C 10;Taguatinga Centro;80;3;1;2;1;315000;375;-;-
Apartamento 2 Quartos Com Garagem Centro de Samambaia! Próximo ao Metrô!;QR 412 Conjunto 21;Samambaia Norte;80;2;0;1;1;235000;302;280;-
Apto Champs Elysees 2 Quartos Vista Livre Setor Central - Gama - DF;Quadra;Setor Central;48;2;-;1;1;185000;200;700;-
Ap 33m2 pode fazer até 2 quartos,financiamento c facilidades;QR 407 Conjunto 9;Samambaia Norte;55;2;0;1;1;180000;200;100;-
Apartamento para venda com 92 metros quadrados com 3 quartos em Norte - Brasília - DF;Avenida Flamboyant;Norte;-;3;1;3;1;670000;800;1650;-
Apto 2 Qrtos sendo 1 Suíte, com Garagem, Resid. Free – Ceilândia Sul - a 150 metros do metrô;QNN 12;Ceilândia Sul;96;2;1;1;1;249900;399;410;-
Casa no Setor O.;QNM 19 Conjunto O;Ceilândia Sul;-;3;1;2;2;850000;0;0;-
Ap pode fazer 1 ou 2 quartos muitas facilidades na compra, veja como;QR 407 Conjunto 8;Samambaia Norte;33;1;0;1;0;174500;200;100;-
Apartamento para venda com 119 metros quadrados com 3 quartos em Norte - Brasília - DF;Quadra 102 Praça Perdiz;Norte;-;3;1;2;2;850000;0;0;-
VILLA CALÁBRIA QI 33 GUARÁ 2 03 QTOS REFORMADO;-;Guará II;166;3;-;2;1;820000;-;-;-
Apartamento para venda Samambaia Sul - Edf. SIENNA - NOVO;QN 508 Conjunto 1;Samambaia Sul;58;1;1;1;1;169900;450;600;-
Apartamento térreo de 50 m² com 2 quartos - Riacho Fundo I;Avenida Sucupira;Riacho Fundo I;-;2;0;1;0;158000;50;0;-
Apartamento para venda tem 26 metros quadrados com 1 quarto em Sul - Brasília - DF;Avenida das Araucárias;Sul;56;1;1;1;1;273000;350;572;-
Apartamento para venda possui 38 metros quadrados com 1 quarto, armários, Águas Claras Sul - DF;Rua 22;Sul;78;1;0;1;1;313000;312;660;-
Apartamento para venda com 60 metros quadrados com 2 quartos em Taguatinga Norte - Brasília - DF;CNB 6;Taguatinga Norte;72;2;1;2;0;272900;0;0;-
Sqs 403 Vendido;SQS 402;Asa Sul;92;2;-;2;-;600000;760;900;-
Apartamento 3 Quartos Cruzeiro Novo !!! 480.000 !!!;SHCES Quadra 105 Bloco D;Cruzeiro Novo;112;3;-;2;-;480000;0;0;-
Dois quartos 716;SHCGN 716 Bloco J;Asa Norte;65;2;0;1;0;485000;575;0;-
Apartamento Reformado 2 quartos - 1° andar - Up Life Residence;QI 29 Lote 3;Guará II;-;2;1;2;1;690000;514;-;-
JÓIA RARA - SQNW 111 - 3 Suítes - 161 m²;SQNW 111 Bloco I;Setor Noroeste;239;3;3;5;3;2300000;0;0;-
Vende-se Urgente Ótimo apartamentoQn 5 Cond 10 do riacho fundo 2;QN 5B Conjunto 5;Riacho Fundo II;-;2;0;1;1;147000;260;-;-
Apartamento para venda com 64 metros quadrados com 2 quartos em Samambaia Norte - Brasília - DF;QI 416;Samambaia Norte;-;2;1;2;1;318758;0;0;-
Apartamento para venda tem 50 metros quadrados com 2 quartos em Riacho Fundo I - Brasília - DF;Avenida Sucupira;Riacho Fundo I;50;2;0;1;1;110000;0;0;-
EXCELENTE APARTAMENTO DE 3 QUARTOS NO Q 909 CRUZEIRO;SHCES Quadra 909;Cruzeiro Novo;70;3;0;1;0;440000;460;900;-
Apartamento De 3 Quartos Com Dce, Reformado E Com Vista Livre - Sudoeste, Brasília DF;SHCSW CHSW Blocos 3/4/5;Setor Sudoeste;-;3;1;3;1;1490000;1254;2440;-
Apartamento para Venda em Brasília, Taguatinga Norte (Taguatinga), 3 dormitórios, 1 suíte, 1 banheir;Setor SAGOCA;Taguatinga Norte;62;3;1;1;1;305000;410;0;-
Excelente apartamento de 2 qts, com varanda de frente para avenida.;-;Setor Habitacional Vicente Pires - Trecho 3;100;2;1;2;1;300000;296;-;-
Apartamento 3Q, 68m Qr 120 Samambaia Sul;QR 120 Conjunto 5;Samambaia Sul;70;3;1;2;1;279000;-;-;-
