description;address;neighborhood;area;bedrooms;suites;wc;parking_spots;value;condo_fee;df_tax;aptlink
Apartamento 2qrts com até 100%financiado ultimas unidades;QR 407;Samambaia Norte;-;2;0;1;0;177000;0;0;-
Apato 98m², nascente, 4 Qts (3 suítes) Lazer. completo, Aceita Financiamento, Citta, A. CLARAS.;Rua 13;Norte;97;4;3;4;1;950000;884;-;-
MARAVILHOSO APARTAMENTO | PENINSULA | 158M²;Avenida das Araucárias;Sul;158;4;2;5;-;1450000;0;0;-
Apartamento Taguatinga Financio MCIMOVEIS;QNE 1;Taguatinga Norte;72;2;-;1;0;180000;-;250;-
Apartamento 1 Qtos, todo mobiliado, ótima localização, Ac. Financiamento e FGTS, A. Claras;Avenida Sibipiruna;Sul;42;1;-;1;1;455000;495;635;-
Apartamento para venda tem 68 metros quadrados com 3 quartos em Samambaia Norte - Brasília - DF;Quadra 201 Conjunto 1;Samambaia Norte;-;3;1;2;1;414002;0;0;-
NASCENTE + VAZADO + REFORMADO! SQA - SUPER QUADRA ATLÂNTICA, QI 29, GUARÁ II;-;Guará II;156;4;2;4;3;1739000;0;0;-
Apartamento para venda com 33 metros quadrados com 1 quarto em Samambaia Norte - Brasília - DF;QN 407 Conjunto E;Samambaia Norte;55;1;-;1;1;177000;-;-;-
Brasília - Apartamento Padrão - Guará II;-;Guará II;90;2;1;2;-;220000;70;-;-
Ap 2 quartos pronto p morar, venha conhecer nossos decorado e condições pelo casa verde e amarela;QR 321 Conjunto 3;Samambaia Sul;76;2;0;1;1;211990;-;-;-
Apartamento para venda tem 79 metros quadrados com 3 quartos em Norte - Brasília - DF;Rua das Paineiras;Norte;-;3;1;2;-;660000;0;0;-
IMPRENSA I - 03 QUARTOS - ANDAR ALTO - NASCENTE;-;Sul;110;3;1;3;1;800000;700;-;-
Apartamento para venda possui 350 metros quadrados com 8 quartos em Taguatinga Norte - Brasília - DF;QNL 16 Conjunto B;Taguatinga Norte;-;8;-;5;5;949778;0;0;-
BRASÍLIA - Apartamento Padrão - NORTE (ÁGUAS CLARAS);-;Norte;88;3;1;3;0;970000;-;-;-
QUITADO!VISTA 100%, DESOCUPADO, 3QUARTOS,SUITE,BANHEIRO DE SERVIÇO,VARANDA;Área Especial 4;Guará II;100;3;1;3;1;749900;611;800;-
Apartamento para venda tem 56 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;1;-;1;1;359622;0;0;-
Apartamento para venda possui 73 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;1;-;1;1;549444;0;0;-
Apartamento para venda possui 73 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;1;-;1;1;550009;0;0;-
KIT NET EM TAGUATING;CND 4;Taguatinga Norte;28;1;1;1;-;115000;-;-;-
LINDO APARTAMENTO | 53M² | 2 QTS | ADE DE ÁGUAS CLARAS;SHVG;Setor Habitacional Vereda Grande;53;2;-;1;-;180000;0;0;-
Apartamento para venda com 34 metros quadrados com 1 quarto em Ceilândia Norte - Brasília - DF;QNN 11;Ceilândia Norte;-;1;-;1;-;149042;259;0;-
Apartamento 77m², nascente, 2 Qtos, reformado, Ac. Financiamento, SQSW 304, SUDOESTE.;SQSW 304 Bloco C;Setor Sudoeste;124;2;-;2;1;1050000;500;2026;-
Vendo na avenida comercial na Estância Mestre D'Armas;-;Estância Planaltina;520;5;-;5;0;570000;-;-;-
Apartamento para venda possui 73 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;1;-;1;1;549078;0;0;-
Residencial Terra Nova;Quadra AC 1;Riacho Fundo I;60;2;1;2;1;330000;396;0;-
Apartamento para venda com 34 metros quadrados com 1 quarto em Ceilândia Norte - Brasília - DF;QNN 11;Ceilândia Norte;-;1;-;1;-;149902;259;0;-
Apartamento para venda com 34 metros quadrados com 1 quarto em Ceilândia Norte - Brasília - DF;QNN 11;Ceilândia Norte;-;1;-;1;-;148722;0;0;-
Apto novo, varanda gourmet, 2 vagas e lazer completo no Guará II;QI 33;Guará II;114;3;1;4;2;1280000;659;0;-
Apartamento para venda possui 73 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;1;-;1;1;549855;0;0;-
Sergio Soares vende: Ágio de Apartamento, Projeção 02, Setor Centra-Gama.;Quadra 3 Projeção 2;Setor Central;54;2;1;2;1;130000;0;0;-
Apartamento para venda com 35 metros quadrados com 1 quarto em Ceilândia Norte - Brasília - DF;QNN 11;Ceilândia Norte;-;1;-;1;-;149024;250;0;-
Apartamento para venda com 56 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;1;-;1;1;359622;0;0;-
Apartamento para venda com 56 metros quadrados com 2 quartos em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;2;-;1;1;359122;0;0;-
Apartamento para venda tem 56 metros quadrados com 2 quartos em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;2;-;1;1;359794;0;0;-
Apto 3 quartos com DCE e Área de Lazer com piscina;-;Asa Norte;1062;3;-;3;1;1450000;1241;-;-
Samambaia - Apartamento Padrão - Samambaia Sul (Samambaia);-;Samambaia Sul;38;1;1;1;-;152000;329;-;-
SPOT - 02 QUARTOS - 01 SUÍTE - ÁGUAS CLARAS SUL;-;Sul;65;2;1;2;2;475000;704;185;-
My Life Style Águas Claras - Apartamento garden com 71 m², 1 quarto podendo ser transformado em 2 qu;-;Norte;90;1;1;1;1;530000;560;-;-
Lindo Apartamento Rua 3 Vicente Pires;Rua 3 Chácara 91;Setor Habitacional Vicente Pires;-;2;1;1;0;240000;0;0;-
Apartamento para venda possui 65 metros quadrados com 2 quartos em Taguatinga Norte - Brasília - DF;QNL 9 Bloco B;Taguatinga Norte;-;2;0;1;1;190000;365;500;-
Apartamento para venda com 35 metros quadrados com 1 quarto em Ceilândia Norte - Brasília - DF;QNN 11;Ceilândia Norte;-;1;-;1;-;149640;259;0;-
Apartamento - Guará I QI 4 Bloco H - 2 Qtos - Reformado;QI 4 Bloco H;Guará I;62;2;0;2;1;399900;256;685;-
Apartamento para venda possui 73 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;1;-;1;1;549723;0;0;-
Apartamento para venda com 73 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;1;-;1;1;549977;0;0;-
Apartamento para venda com 73 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;1;-;1;1;549533;0;0;-
APARTAMENTO CIRO FARAJ;QNN 12;Ceilândia Sul;64;3;1;2;1;250000;0;0;-
Apartamento para venda tem 250 metros quadrados com 3 quartos;SHA Conjunto 5 Chácara 15A;Setor Habitacional Arniqueira;-;3;1;1;4;1400000;0;0;-
Apartamento para venda possui 45 metros quadrados com 1 quarto;Rua 4A;Setor Habitacional Vicente Pires;45;1;-;1;-;155000;210;0;-
Residencial Belize Guará II - apto reformado, desocupado (cond. fechado);QI 23;Guará II;54;2;0;1;1;445000;367;0;-
Eliane Fleury: 2 quartos nascente c/ lazer completo em Águas Claras;Quadra 101;Norte;74;2;1;2;1;460000;480;0;-
Apartamento para venda possui 65 metros quadrados com 2 quartos em Samambaia Norte - Brasília - DF;QI 416;Samambaia Norte;-;2;1;2;1;319566;0;0;-
Apartamento para venda tem 70 metros quadrados com 3 quartos em Norte - Brasília - DF;Rua 12;Norte;82;3;1;1;1;469000;800;0;-
Samambaia 3 quartos com suíte Portal do Sol;-;Samambaia Norte;116;3;-;2;1;369990;623;-;-
Compro e vendo Ágio, mesmo com prestações atrasadas: Casa, Apartamento e Terreno. Pagamos a Vista!;Área Especial 04;Taguatinga Sul;100;3;2;3;2;15000000;0;0;-
Apartamento para venda possui 83 metros quadrados com 2 quartos em Norte - Brasília - DF;Quadra 104;Norte;83;2;1;1;1;585000;0;0;-
APARTAMENTO BRASÍLIA RIACHO FUNDO II;Praça Central;Núcleo Bandeirante;55;2;-;1;1;160000;350;-;-
Apartamento para venda com 46 metros quadrados com 2 quartos em Jardins Mangueiral - Brasília - DF;Quadra QC 11 Rua D;Jardins Mangueiral;69;2;-;1;1;285000;350;1217;-
Apartamento para venda tem 56 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;1;-;1;1;398544;0;0;-
Soffisticato Águas Claras – 2 qtos desocupado c/ lazer completo;Rua das Figueiras;Norte;48;2;1;2;1;439000;507;0;-
Apartamento de 1 ou 2 quartos, até 100% pelo programa casa verde e amarela. Prestação baixa;QR 407 Conjunto 3;Samambaia Norte;56;2;0;1;1;172000;-;-;-
Excelente apartamento no residencial Patrícia 3Qrts, 2 Vg QI 19 Taguatinga norte;QI 18;Setor Industrial;70;3;1;2;2;320000;-;-;-
Apartamento 1e2 quartos com subsídio de até 47mil;QR 407 Conjunto 1;Samambaia Norte;-;2;0;1;1;183000;0;0;-
Apartamento 2 Quartos!!! Nascente!!! Vista Livre!!! CA 02!!!;CA 2;Setor de Habitações Individuais Norte;42;2;0;1;1;390000;372;892;-
Apartamento para venda tem 56 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;1;-;1;1;359981;0;0;-
Apartamento para venda com 73 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;1;-;1;1;549633;0;0;-
Apartamento para venda possui 56 metros quadrados com 2 quartos em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;2;-;1;1;389088;0;0;-
Apartamento para venda com 68 metros quadrados com 2 quartos em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;2;-;1;1;449622;0;0;-
Apartamento para venda com 56 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;1;-;1;1;389051;0;0;-
Apartamento para venda tem 56 metros quadrados com 2 quartos em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;2;-;1;1;398044;0;0;-
Apartamento para venda com 56 metros quadrados com 2 quartos em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;2;-;1;1;389069;0;0;-
Apartamento 1e2 quarto com melhores condições;QR 407;Samambaia Norte;-;2;0;1;0;178000;0;0;-
Apartamento para venda possui 56 metros quadrados com 2 quartos em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;2;-;1;1;390977;0;0;-
Apartamento para venda com 56 metros quadrados com 2 quartos em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;2;-;1;1;389999;0;0;-
Apartamento para venda possui 56 metros quadrados com 2 quartos em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;2;-;1;1;389699;0;0;-
Apartamento para venda com 56 metros quadrados com 2 quartos em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;2;-;1;1;388700;0;0;-
Apartamento para venda possui 56 metros quadrados com 2 quartos em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;2;-;1;1;388796;0;0;-
Apartamento para venda com 56 metros quadrados com 2 quartos em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;2;-;1;1;398556;0;0;-
Apartamento para venda possui 53 metros quadrados com 2 quartos em Guará II - Brasília - DF;Área Especial 2;Guará II;53;2;0;1;1;450000;350;0;-
Apartamento 3 Quartos no Residencial Safira QR 408;QR 408;Samambaia Norte;68;3;1;2;1;290000;0;0;-
APARTAMENTO RESIDENCIAL em ÁGUAS CLARAS - DF, MODERN LIFE 1QTO 17° ANDAR - C/ ARMÁRIOS;Rua 5;Norte;54;1;1;1;1;325000;243;546;-
Apartamento de 78m² com 3 quartos, 1 suíte - Vicente Pires;Rua 4 Chácara 25;Setor Habitacional Vicente Pires - Trecho 3;78;3;1;2;0;240000;-;-;-
Apartamento para venda com 56 metros quadrados com 2 quartos em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;2;-;1;1;389655;0;0;-
Apartamento para venda com 54 metros quadrados com 2 quartos em Samambaia Sul - Brasília - DF;QN 122 Conjunto 3;Samambaia Sul;-;2;1;2;1;319688;0;0;-
Renda média ideal 1800, programa casa verde e amarela, prestação baixa;QR 407;Samambaia Norte;57;2;0;1;1;178000;-;-;-
Apartamento 1e2 quartos com subsídio de até 47mil;QR 407;Samambaia Norte;-;2;0;1;0;178000;0;0;-
Apartamento para venda com 56 metros quadrados com 2 quartos em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;2;-;1;1;389006;0;0;-
Apartamento até 100% financiado;QR 407;Samambaia Norte;-;2;0;1;0;178000;0;0;-
Apartamento com 2 quartos até 100% financiado renda a partir de 1.700;QR 407;Samambaia Norte;33;2;0;1;0;177000;-;-;-
Apartamento 1e2 qrts pelo programa casa verde e amarela;QR 407 Conjunto 2;Samambaia Norte;-;2;0;1;0;178000;0;0;-
LINDO APARTAMENTO | 80M² | 2 QTS | ÁGUAS CLARAS.;Rua Buriti;Sul;68;2;1;2;1;675000;0;0;-
Apartamento para venda com 97 metros quadrados com 1 quarto em Norte - Brasília - DF;Rua das Carnaúbas;Norte;-;1;-;1;1;816492;0;0;-
APARTAMENTO NA QD 203 RESIDENCIAL FLORENCE;Quadra 203;Sul;58;2;0;1;1;319999;765;167;-
Modern Life 1Q - 17º Andar c/ Armários;Rua 5;Norte;-;1;0;1;1;325000;243;546;-
Vd Apt 3 qts c/suite - Prox Feira do Produtor Vicente - DF;Rua 3 Chácara 88;Setor Habitacional Vicente Pires;60;3;1;1;2;280000;0;0;-
Vende-se apartamento em Samambaia.;QS 113;Samambaia Sul;3261;2;-;2;1;220000;350;-;-
Apartamento 2 Quartos, Garagem e Lazer Reserva Do Horizonte, Samambaia;Quadra 301 Conjunto 1;Samambaia Sul;50;2;1;2;1;233000;-;-;-
Qd. C-2, Ed. Ville Blanche, vendo Aptº 2Qts, 1 vg garagem, Taguatinga Centro - DF.;C 2;Taguatinga Centro;70;2;0;1;1;210000;0;0;-
Apartamento para venda possui 153 metros quadrados com 3 quartos em Samambaia Norte - Brasília - DF;Quadra 201 Conjunto 1;Samambaia Norte;-;3;1;2;2;674855;0;0;-
Apartamento 2qrts com melhores condições;QR 407 Conjunto 1;Samambaia Norte;-;2;0;1;1;183000;0;0;-
Milena Baqui Muniz - Cobertura em Águas Claras - Lazer completo!;Rua 30;Norte;129;2;1;3;1;850000;910;0;-
OAlmeida, QNC 1, Condomínio Paradiso Clube Residênce.;-;Taguatinga Norte;60;2;-;1;1;320000;599;0;-
Apartamento com todo conforto e lazer;QR 407 Conjunto 6;Samambaia Norte;-;2;0;1;1;180000;0;0;-
Apartamento para venda com 153 metros quadrados com 3 quartos em Samambaia Norte - Brasília - DF;Quadra 201 Conjunto 1;Samambaia Norte;-;3;1;2;2;674600;0;0;-
Apartamento para venda com 56 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;1;-;1;1;379880;0;0;-
Apartamento para venda com 37 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;1;-;1;1;269000;303;0;-
BRASÍLIA - Apartamento Padrão - SUL (ÁGUAS CLARAS);-;Sul;65;2;1;2;1;459900;530;800;-
Apartamento para venda tem 37 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;1;-;1;1;270003;303;0;-
Residencial Top Life Long Beach - 2 quartos - 1 vaga coberta - 49m²;QI;Setor Industrial;49;2;0;1;1;310000;350;500;-
Apartamento para venda tem 53 metros quadrados com 2 quartos em Setor Industrial - Brasília - DF;QI 24;Setor Industrial;-;2;1;2;1;299003;0;0;-
Apartamento para venda com 37 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;1;-;1;1;269060;303;0;-
Apartamento para venda tem 37 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;1;-;1;1;270633;303;0;-
Apartamento para venda tem 56 metros quadrados com 2 quartos em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;2;-;1;1;398667;0;0;-
Paradiso Clube - Cobertura 3 Quartos - 2 Vagas 138m²;QNC 1;Taguatinga Norte;138;3;2;1;2;879000;930;1580;-
Apartamento 2qrts conjugado oportunidade diferenciada;QR 407;Samambaia Norte;-;2;0;1;1;183000;0;0;-
Apartamento para venda tem 37 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;1;-;1;1;279779;303;0;-
Apartamento para venda possui 91 metros quadrados com 3 quartos em Sul - Brasília - DF;Rua 36;Sul;-;3;3;4;1;898202;0;0;-
Otimo apartamento Qs6 na avenida central;QS 6 Conjunto 3;Riacho Fundo I;33;1;0;1;0;115000;-;-;-
APARTAMENTO 1 QUARTO 42 M² VISTA LIVRE COSTA VERDE ÁGUAS CLARAS;Quadra 208;Sul;60;1;1;1;1;280000;465;600;-
Taguatinga (Norte) | Apartamento 2 quartos;CNB 1;Taguatinga Norte;65;2;-;1;1;220000;574;874;-
Apartamento para venda com 88 metros quadrados com 3 quartos em Sul - Brasília - DF;Rua Copaíba;Sul;-;3;1;2;2;639744;540;0;-
Apartamento para venda possui 88 metros quadrados com 3 quartos em Sul - Brasília - DF;Rua Copaíba;Sul;-;3;1;2;2;638006;540;0;-
Apartamento 60 metros quadrados, com 2 quartos em Samambaia Sul - Brasília - DF;QR 113 Conjunto 2;Samambaia Sul;80;2;1;2;1;260000;380;300;-
BRASILIA - Apartamento Padrao - SETOR SUDOESTE;QRSW 8 Bloco A-11;Setor Sudoeste;68;2;-;1;-;610000;590;1130;-
ÓTIMO APARTAMENTO DE 3 QUARTOS NO CONDOMÍNIO BEM VIVER;QNN 34 Área Especial F;Ceilândia Sul;80;3;1;2;1;320000;300;450;-
Apartamento para venda com 88 metros quadrados com 3 quartos em Sul - Brasília - DF;Rua Copaíba;Sul;-;3;1;2;2;639432;540;0;-
APARTAMENTO NO RESIDENCIAL LE VILLE;Rua 16;Sul;88;2;1;2;1;398000;400;500;-
AGIO Apart ED PORTAL DO SOL QI 416 17º ANDAR Samambaia Norte - Brasília - DF;QI 416;Samambaia Norte;70;2;1;2;1;170000;0;0;-
Aguas claras- 104 metros- 3 quartos - lazer completo;Quadra 104;Norte;104;3;2;2;1;520000;1246;1400;-
Apartamento para venda com 53 metros quadrados com 2 quartos em Samambaia Norte - Brasília - DF;QS 410 Conjunto H;Samambaia Norte;-;2;1;2;1;279956;0;0;-
Apartamento com 02 quartos - Chácara 51 - Colônia Agrícola Samambaia.;Chácara 51;Setor Habitacional Vicente Pires - Trecho 3;45;2;0;1;0;80000;0;0;-
Apartamento para venda 2 quartos prédio com elevador, Sobradinho;Quadra 7 Conjunto A;Sobradinho;-;2;0;1;1;519000;-;-;-
Apartamento com 2 dormitórios à venda, 64 m² por R$ 150.000 - Del Lago II - Paranoá/DF;Quadra 331;Del Lago II;70;2;0;1;0;150000;0;0;-
Apartamento para venda possui 88 metros quadrados com 3 quartos em Sul - Brasília - DF;Rua Copaíba;Sul;-;3;1;2;2;639221;540;0;-
Apartamento para venda tem 88 metros quadrados com 3 quartos em Sul - Brasília - DF;Rua Copaíba;Sul;-;3;1;2;2;639080;540;0;-
Apartamento para venda com 88 metros quadrados com 3 quartos em Sul - Brasília - DF;Rua Copaíba;Sul;-;3;1;2;2;639222;540;0;-
Apartamento para venda com 88 metros quadrados com 3 quartos em Sul - Brasília - DF;Rua Copaíba;Sul;-;3;1;2;2;649622;0;0;-
Apartamento para venda possui 88 metros quadrados com 3 quartos em Sul - Brasília - DF;Rua Copaíba;Sul;-;3;1;2;2;639866;540;0;-
Apartamento para venda tem 88 metros quadrados com 3 quartos em Sul - Brasília - DF;Rua Copaíba;Sul;-;3;1;2;2;638011;540;0;-
Apartamento para venda tem 88 metros quadrados com 3 quartos em Sul - Brasília - DF;Rua Copaíba;Sul;-;3;1;2;2;639111;540;0;-
Apartamento para venda tem 88 metros quadrados com 3 quartos em Sul - Brasília - DF;Rua Copaíba;Sul;-;3;1;2;1;649001;540;0;-
Apartamento para venda com 37 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;1;-;1;1;279544;303;0;-
Apartamento para venda tem 56 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;1;-;1;1;379588;0;0;-
Lançamento Apartamento 2 Quartos Financiado Na Planta;Rua das Carnaúbas;Norte;67;2;-;1;-;593000;500;1200;-
Breve lançamento QS 116 Samambaia, 1 e 2 qtos com lazer!;QS 116;Samambaia Sul;50;1;0;1;1;209000;0;0;-
DUPLEX RESIDENCIAL MAISON EXCLUISIVE - Qd 102 Águas Claras;Rua das Paineiras;Sul;147;2;2;3;2;1050000;1000;600;-
BRASÍLIA - Apartamento Padrão - TAGUATINGA NORTE (TAGUATINGA);-;Taguatinga Norte;94;3;0;1;1;270000;390;890;-
Residencial Viviane Rinald 77,29 metros 3 quartos;Rua 25;Norte;97;3;1;2;1;630000;0;850;-
Apartamento para venda possui 53 metros quadrados com 2 quartos em Samambaia Norte - Brasília - DF;QS 410 Conjunto H;Samambaia Norte;-;2;1;2;1;279503;0;0;-
Apartamento para venda possui 53 metros quadrados com 2 quartos em Samambaia Norte - Brasília - DF;QS 410 Conjunto H;Samambaia Norte;-;2;1;2;1;279009;0;0;-
Apartamento para venda com 61 metros quadrados com 2 quartos em Samambaia Sul - Brasília - DF;QS 113;Samambaia Sul;-;2;1;2;1;245477;0;0;-
Apartamento à venda, 3 quartos, 1 suíte, 1 vaga, Ceilândia Sul (Ceilândia) - Brasília/DF;-;Ceilândia Sul;70;3;1;1;1;365000;0;0;-
Edifício Saint Martin;Quadra AC 2;Riacho Fundo I;80;2;1;2;1;490000;580;600;-
Apartamento para venda tem 53 metros quadrados com 2 quartos em Samambaia Norte - Brasília - DF;QS 410 Conjunto H;Samambaia Norte;-;2;1;2;1;279633;0;0;-
Asa Norte | Apartamento 1 quarto;SQN 316 Bloco K;Asa Norte;40;1;-;1;-;550000;555;924;-
Apartamento para venda tem 49 metros quadrados com 2 quartos;Rua 4;Setor Habitacional Vicente Pires - Trecho 3;49;2;0;1;1;230000;200;0;-
SQN 312 Apto a venda 6º andar e nascente, Asa Norte - Brasília - DF;SQN 312;Asa Norte;80;2;-;2;-;689000;0;0;-
Apartamento para venda com 37 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;1;-;1;1;279669;303;0;-
BRASÍLIA - Apartamento Padrão - SUL (ÁGUAS CLARAS);-;Sul;64;2;1;1;1;599000;440;-;-
Vicente Pires Rua 10, apto 2 qts, 55m, vista livre, 4 andar, só 135mil;Rua 10;Setor Habitacional Vicente Pires;55;2;0;1;2;135000;-;-;-
Apartamento para venda com 41 metros quadrados com 1 quarto em Norte - Brasília - DF;Rua 7;Norte;41;1;0;1;-;375000;0;0;-
APARTAMENTO PRÓXIMO AO LAGO!!!!;-;Itapoã Parque;60;2;-;1;1;59999;0;0;-
Residencial Max Home - Águas Claras - De 1 Quarto - De Alto Padrão - Varanda;Rua 7;Norte;42;1;0;1;1;390000;335;550;-
Lazer completo, 1 ou 2 quartos, preço mais bararo de 167 mil;QR 407 Conjunto 6;Samambaia Norte;56;1;0;1;1;168000;-;-;-
Apartamento 2qrts pelo programa casa verde e amarela;QR 407;Samambaia Norte;-;2;0;1;1;180000;0;0;-
Apartamento 1e2 quartos com subsídio de até 47mil;QR 407 Conjunto 9;Samambaia Norte;-;2;0;1;0;179000;0;0;-
Casa/sobrado com alto padrão de qualidade, situado na QN 01 Riacho Fundo I;QN 1 Conjunto 17;Riacho Fundo I;140;3;2;3;2;850000;0;0;-
Apartamento 93m², 3 Qtos(1 suíte) Ac. Financ e Permuta! RUA 13 NORTE,A. CLARAS.;Rua 13;Norte;90;3;1;2;1;680000;653;1170;-
Apartamento para venda tem 43 metros quadrados com 2 quartos em Samambaia Sul - Brasília - DF;QR 321 Conjunto 4;Samambaia Sul;79;2;0;1;1;207500;-;-;-
Sudoeste: Desocupado! 2 vagas, vista livre, apto de canto, cobertura coletiva;SQSW 103;Setor Sudoeste;147;4;1;3;2;1560000;1500;0;-
Apartamento para venda tem 37 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;1;-;1;1;270000;0;0;-
Apartamento para venda com 37 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;1;-;1;1;269631;303;0;-
Apartamento para venda com 37 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;1;-;1;1;270705;0;0;-
Apartamento para venda possui 37 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;1;-;1;1;270877;303;0;-
Apartamento para venda tem 37 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;1;-;1;1;270002;303;0;-
Apartamento para venda possui 47 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;1;-;1;1;270544;0;0;-
Apartamento para venda com 37 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;1;-;1;1;279633;303;0;-
Apartamento para venda tem 37 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;1;-;1;1;270007;303;0;-
Vendo Apto de 2 quartos no Total Ville - Santa Maria DF;Rua 400 Lote 403;Setor Meireles;-;2;0;1;1;140000;0;0;-
Edifício Rivoli - 2 quartos - Andar alto - Vista Livre;Rua 37;Sul;54;2;1;2;1;530000;500;600;-
Apartamento com ótima localização;QR 407 Conjunto 8;Samambaia Norte;-;2;0;1;0;177000;0;0;-
Apartamento para venda com 37 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;1;-;1;1;269411;0;0;-
Apartamento para venda com 37 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;1;-;1;1;269003;303;0;-
Apartamento para venda com 37 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;CSG 3;Taguatinga Sul;-;1;-;1;1;279532;0;0;-
GRANDE OPORTUNIDADE!! Ótimo Apartamento de 03 Quartos sendo 01 suíte no Residencial Dolce Vitta por;-;Guará I;119;3;1;1;1;750000;-;-;-
SHCGN 705 Bloco K, Apartamento com 68M2;SHCGN 705 Bloco K;Asa Norte;68;2;0;2;0;660000;610;1303;-
BRASÍLIA - Apartamento Padrão - SETOR HABITACIONAL ARNIQUEIRA (ÁGUAS CLARAS);-;Setor Habitacional Arniqueira;126;2;0;2;2;360000;-;-;-
Venda - Flat Mobiliado Dividido, 2 QTS - 1 Suite - Ed. Metropolitan - Asa Norte;SHN Quadra;Asa Norte;73;2;-;2;0;550000;1789;0;-
Apartamento para venda com 190 metros quadrados com 4 quartos em Sul - Brasília - DF;Rua 28;Sul;-;4;2;2;-;1440000;0;0;-
Águas Claras (Norte) | Apartamento 3 quartos, sendo 1 suite;Rua 21;Norte;115;3;1;2;1;560000;442;990;-
Residencial Guará Master - 3 quartos - Suíte - Lazer;QI 25 Lote 4;Guará II;81;3;1;2;1;590000;690;1000;-
